Frame_Number,Time_Sec,Processing_Time_ms,FPS,Object_ID,Bbox_X,Bbox_Y,A_real,Distance_Est,v_x,v_z,omega_z,current_pitch_rad,Pipeline_Latency_ms
110,15.38,84.7,11.4,1,668,473,214141.53,0.8877,0.3782,-0.0785,0.0437,0.037969,87.2
111,15.473,81.7,10.8,1,670,471,214741.02,0.8865,0.3765,-0.0588,0.0486,0.037776,84.1
112,15.562,82.8,11.1,1,666,455,208511.3,0.8996,0.3945,-0.1082,0.0372,0.037775,85.4
113,15.654,81.8,11.0,1,645,437,203714.56,0.9101,0.4085,-0.1477,0,0.037487,84.3
114,15.744,79.5,11.1,1,627,437,201877.55,0.9143,0.4138,-0.1268,-0.0363,0.037318,81.9
115,15.832,78.5,11.4,1,616,451,199274.9,0.9202,0.4214,-0.081,-0.0474,0.03732,81.1
116,15.919,74.0,11.5,1,602,458,201020.72,0.9162,0.4163,-0.0745,-0.0727,0.037428,76.4
117,16.001,73.9,12.2,1,581,457,198218.38,0.9227,0.4244,-0.0866,-0.1122,0.037428,76.3
118,16.083,76.1,12.2,1,566,452,197093.6,0.9253,0.4277,-0.1018,-0.1297,0.037276,77.1
119,16.166,72.8,12.1,1,550,466,203147.78,0.9114,0.4101,-0.0482,-0.1563,0.037276,73.9
120,16.245,72.4,12.6,1,522,463,198353.2,0.9224,0.424,-0.0766,-0.2115,0.037276,74.8
121,16.326,74.4,12.4,1,500,457,196348.25,0.9271,0.4299,-0.0928,-0.2399,0.037189,75.3
122,16.407,81.3,12.3,1,495,453,196789.16,0.926,0.4286,-0.0982,-0.231,0.037189,82.5
123,16.496,78.2,11.3,1,479,445,197932.19,0.9233,0.4253,-0.1198,-0.266,0.037189,80.7
124,16.582,80.9,11.5,1,455,432,202952.97,0.9119,0.4107,-0.1527,-0.3104,0.037223,81.9
125,16.67,81.0,11.4,1,433,423,205786.94,0.9056,0.4025,-0.1667,-0.343,0.037223,82.1
126,16.758,81.7,11.4,1,418,422,210354.3,0.8957,0.3892,-0.1592,-0.3599,0.037223,84.0
127,16.848,77.7,11.1,1,389,437,215291.34,0.8853,0.3749,-0.1088,-0.419,0.037466,78.7
128,16.932,77.5,11.8,1,376,441,218915.9,0.878,0.3643,-0.1139,-0.4244,0.037466,80.0
129,17.018,78.5,11.6,1,362,448,218535.27,0.8787,0.3654,-0.0956,-0.4472,0.037466,79.5
130,17.103,81.8,11.7,1,359,455,216248.1,0.8834,0.3721,-0.0822,-0.4417,0.037991,82.8
131,17.192,87.4,11.3,1,362,473,211615.94,0.893,0.3855,-0.033,-0.4319,0.037991,89.9
132,17.288,80.2,10.4,1,362,473,207275.7,0.9023,0.3981,-0.0532,-0.4344,0.038373,81.2
133,17.375,81.2,11.5,1,354,467,205472.78,0.9062,0.4034,-0.0726,-0.454,0.038373,82.4
134,17.463,76.7,11.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
135,17.545,80.4,12.1,1,337,469,207060.78,0.9028,0.3988,-0.0602,-0.4812,0.03849,82.7
136,17.634,83.4,11.3,1,336,473,207118.58,0.9026,0.3986,-0.0485,-0.4759,0.03849,85.8
137,17.726,81.4,10.9,1,339,473,205852.44,0.9054,0.4023,-0.0531,-0.4677,0.03849,82.3
138,17.814,80.4,11.4,1,341,472,204044.9,0.9094,0.4075,-0.0564,-0.4654,0.038499,81.4
139,17.901,78.8,11.5,1,339,472,203863.56,0.9098,0.408,-0.0552,-0.4721,0.038499,81.3
140,17.988,85.9,11.5,1,356,496,205176.33,0.9069,0.4042,0,-0.4294,0.038389,86.9
141,18.081,77.0,10.8,1,394,520,208997.66,0.8986,0.3931,0.0747,-0.349,0.038389,78.1
142,18.164,101.5,11.9,1,465,575,207746.52,0.9013,0.3968,0.2118,-0.2228,0.038389,103.8
143,18.274,99.5,9.1,1,512,607,198846.55,0.9212,0.4226,0.2573,-0.1654,0.038578,100.5
144,18.38,72.4,9.4,1,534,608,192620.56,0.936,0.4407,0.2294,-0.1444,0.038578,74.9
145,18.461,72.7,12.4,1,547,611,192333.3,0.9367,0.4415,0.2383,-0.1325,0.038578,73.6
146,18.54,72.8,12.6,1,564,621,194195.67,0.9322,0.4361,0.2683,-0.102,0.038583,73.8
147,18.62,71.4,12.6,1,567,616,193470.02,0.9339,0.4382,0.2382,-0.1111,0.038583,73.8
148,18.699,74.9,12.6,1,568,610,193518.9,0.9338,0.4381,0.2246,-0.1115,0.038583,75.8
149,18.781,75.1,12.2,1,570,606,195126.25,0.93,0.4334,0.2182,-0.1075,0.038976,76.1
150,18.863,73.8,12.2,1,575,608,195303.0,0.9295,0.4329,0.2302,-0.0968,0.038976,76.2
151,18.945,74.7,12.2,1,580,607,195742.66,0.9285,0.4316,0.2243,-0.0889,0.038976,75.6
152,19.026,76.4,12.3,1,587,611,196987.27,0.9256,0.428,0.239,-0.0762,0.03895,77.4
153,19.109,73.0,12.0,1,591,612,197636.66,0.924,0.4261,0.2373,-0.0727,0.03895,75.6
154,19.19,75.5,12.3,1,602,612,197757.9,0.9238,0.4258,0.236,-0.0489,0.03895,76.4
155,19.273,74.5,12.2,1,609,613,198046.95,0.9231,0.4249,0.239,-0.0417,0.039186,75.5
156,19.354,72.6,12.3,1,610,613,198280.14,0.9225,0.4243,0.2379,-0.0459,0.039186,75.0
157,19.435,72.8,12.4,1,607,612,198425.9,0.9222,0.4238,0.2345,-0.0545,0.039186,73.8
158,19.514,74.1,12.6,1,604,611,199146.67,0.9205,0.4217,0.2326,-0.0591,0.039086,75.0
159,19.595,75.5,12.4,1,601,608,200144.33,0.9182,0.4188,0.2238,-0.0637,0.039086,77.8
160,19.679,76.3,12.0,1,596,606,202276.17,0.9134,0.4126,0.2206,-0.0735,0.039234,77.2
161,19.762,74.1,12.1,1,592,604,203119.38,0.9115,0.4102,0.2165,-0.0789,0.039234,75.2
162,19.842,75.8,12.4,1,584,596,203774.08,0.91,0.4083,0.1925,-0.095,0.039234,78.1
163,19.926,75.6,11.9,1,579,589,204721.58,0.9079,0.4055,0.1789,-0.1,0.039286,76.6
164,20.009,75.6,12.2,1,579,581,204580.81,0.9082,0.406,0.161,-0.0953,0.039286,76.7
165,20.091,74.7,12.1,1,585,583,205954.11,0.9052,0.402,0.1778,-0.0803,0.039286,77.1
166,20.174,78.4,12.1,1,603,588,208250.8,0.9002,0.3953,0.1918,-0.0413,0.039299,79.4
167,20.259,71.1,11.7,1,610,594,212205.28,0.8918,0.3838,0.2062,-0.0399,0.039299,72.3
168,20.337,77.0,12.8,1,613,594,212812.38,0.8905,0.3821,0.1982,-0.0394,0.039299,79.3
169,20.422,74.3,11.7,1,611,592,213355.38,0.8893,0.3805,0.1917,-0.0472,0.03915,75.4
170,20.503,76.1,12.3,1,608,587,212840.8,0.8904,0.382,0.1775,-0.0528,0.03915,77.3
171,20.586,75.4,12.1,1,607,571,210759.56,0.8948,0.388,0.1304,-0.0525,0.03915,77.7
172,20.67,82.3,12.0,1,602,544,209622.94,0.8972,0.3913,0.0621,-0.0638,0.039451,83.3
173,20.759,88.0,11.2,1,599,519,208790.38,0.899,0.3937,0,-0.0665,0.039451,90.4
174,20.855,79.0,10.4,1,601,514,210488.38,0.8954,0.3888,0,-0.0591,0.039451,79.8
175,20.941,81.7,11.7,1,608,516,212103.0,0.892,0.3841,0.038,-0.0438,0.039392,82.7
176,21.029,81.0,11.3,1,611,518,213424.28,0.8892,0.3803,0.0421,-0.0427,0.039392,83.5
177,21.119,79.0,11.2,1,620,517,213985.28,0.888,0.3787,0.0359,0,0.039768,80.0
178,21.204,78.9,11.7,1,632,524,214555.55,0.8869,0.377,0.0604,0,0.039768,80.0
179,21.29,81.9,11.7,1,640,531,215271.72,0.8854,0.3749,0.0746,0,0.039768,84.2
180,21.38,76.7,11.1,1,645,537,216289.47,0.8833,0.372,0.0867,0,0.039631,77.6
181,21.464,76.3,12.0,1,649,540,216485.9,0.8829,0.3714,0.0891,0,0.039631,77.6
182,21.547,79.2,12.0,1,652,546,217344.7,0.8811,0.3689,0.105,0,0.039631,81.6
183,21.635,76.9,11.4,1,649,550,218509.2,0.8788,0.3655,0.1116,0,0.039346,78.0
184,21.719,77.0,11.9,1,642,549,220538.36,0.8747,0.3596,0.1032,0,0.039346,79.4
185,21.804,77.0,11.7,1,638,538,220921.69,0.874,0.3585,0.0678,0,0.039346,77.9
186,21.888,77.5,11.9,1,639,535,221915.27,0.872,0.3556,0.0709,0,0.039759,78.5
187,21.973,76.5,11.9,1,644,537,223438.08,0.869,0.3512,0.0814,0,0.039759,78.8
188,22.057,79.7,11.8,1,656,543,224010.03,0.8679,0.3495,0.0987,0.0359,0.039759,80.5
189,22.143,76.3,11.6,1,657,543,222531.72,0.8708,0.3538,0.0921,0,0.039344,77.3
190,22.226,77.0,12.0,1,659,543,219802.12,0.8762,0.3618,0.0919,0.0315,0.039344,79.4
191,22.312,76.0,11.7,1,660,543,218344.25,0.8791,0.366,0.0919,0.0322,0.039344,76.8
192,22.394,75.0,12.1,1,660,543,217516.44,0.8808,0.3684,0.0921,0.0312,0.039226,75.9
193,22.476,77.3,12.2,1,661,547,219472.83,0.8769,0.3627,0.1052,0.0337,0.039226,79.8
194,22.561,78.1,11.7,1,659,545,221309.48,0.8732,0.3574,0.0937,0,0.039244,79.1
195,22.646,76.2,11.8,1,655,539,222284.78,0.8713,0.3546,0.0761,0,0.039244,77.3
196,22.729,75.1,12.0,1,654,535,222995.69,0.8699,0.3525,0.0703,0,0.039244,77.3
197,22.812,77.4,12.0,1,655,528,224654.0,0.8667,0.3477,0.0525,0,0.038957,78.4
198,22.896,76.4,11.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
199,22.979,79.1,12.1,1,647,511,224460.2,0.8671,0.3482,0,0,0.038957,81.5
200,23.066,80.3,11.5,1,646,506,223739.92,0.8685,0.3503,0,0,0.038753,81.4
201,23.153,79.0,11.5,1,645,503,223072.86,0.8698,0.3523,0,0,0.038753,80.1
202,23.239,81.3,11.7,1,645,500,222595.23,0.8707,0.3536,0,0,0.038753,83.5
203,23.328,77.8,11.2,1,645,499,222746.0,0.8704,0.3532,0,0,0.03848,78.8
204,23.413,78.9,11.8,1,645,499,222986.9,0.8699,0.3525,0,0,0.03848,81.2
205,23.5,78.3,11.5,1,648,500,223978.73,0.868,0.3496,0,0,0.03848,79.2
206,23.585,81.1,11.7,1,647,496,227705.55,0.8609,0.3388,0,0,0.038757,82.1
207,23.673,81.7,11.4,1,640,486,224477.48,0.867,0.3482,-0.0378,0,0.038757,84.4
208,23.763,84.7,11.1,1,635,466,221145.19,0.8735,0.3579,-0.0904,0,0.038533,85.6
209,23.854,82.6,11.0,1,635,463,219843.98,0.8761,0.3616,-0.0775,0,0.038533,83.6
210,23.944,83.3,11.2,1,640,460,216649.84,0.8826,0.3709,-0.0836,0,0.038533,85.5
211,24.035,80.3,11.0,1,643,461,214979.72,0.886,0.3758,-0.0766,0,0.038334,81.3
212,24.122,79.6,11.5,1,643,458,213544.28,0.889,0.3799,-0.0878,0,0.038334,81.7
213,24.21,78.9,11.4,1,644,459,211620.0,0.893,0.3855,-0.0809,0,0.038334,80.2
214,24.296,77.8,11.6,1,646,458,208825.5,0.8989,0.3936,-0.0849,0,0.037982,78.8
215,24.38,77.8,11.8,1,649,457,206347.44,0.9043,0.4008,-0.0871,0,0.037982,80.4
216,24.466,75.6,11.6,1,648,456,204344.66,0.9087,0.4066,-0.0893,0,0.037982,76.5
217,24.549,77.2,12.2,1,647,457,203016.58,0.9117,0.4105,-0.0843,0,0.037719,78.2
218,24.633,76.6,11.9,1,647,455,200852.27,0.9166,0.4168,-0.0923,0,0.037719,79.7
219,24.718,75.1,11.7,1,647,457,200124.53,0.9183,0.4189,-0.0826,0,0.037381,76.1
220,24.8,77.5,12.2,1,647,458,199904.34,0.9188,0.4195,-0.082,0,0.037381,78.6
221,24.885,77.5,11.8,1,647,462,199708.0,0.9192,0.4201,-0.07,0,0.037381,79.8
222,24.97,77.5,11.7,1,649,466,198882.95,0.9211,0.4225,-0.0613,0,0.03717,78.5
223,25.054,77.6,11.9,1,650,470,198368.14,0.9223,0.424,-0.0531,0,0.03717,78.8
224,25.139,77.4,11.8,1,647,473,198062.8,0.923,0.4249,-0.0481,0,0.03717,79.6
225,25.224,77.3,11.7,1,646,476,198125.94,0.9229,0.4247,-0.0419,0,0.037217,78.3
226,25.309,78.4,11.9,1,642,482,197415.5,0.9246,0.4268,0,0,0.037217,79.5
227,25.394,79.0,11.7,1,643,486,196361.06,0.927,0.4298,0,0,0.037217,81.3
228,25.481,75.3,11.5,1,642,487,195498.88,0.9291,0.4323,0,0,0.036967,76.2
229,25.563,76.8,12.2,1,641,488,195025.11,0.9302,0.4337,0,0,0.036967,78.6
230,25.648,76.9,11.8,1,640,490,194218.94,0.9321,0.436,0,0,0.036967,78.4
231,25.732,76.0,11.9,1,639,492,193145.16,0.9347,0.4392,0,0,0.037307,77.0
232,25.815,77.8,12.1,1,638,498,192107.28,0.9372,0.4422,0,0,0.037307,80.1
233,25.901,78.3,11.7,1,638,500,191058.81,0.9398,0.4452,0,0,0.037307,79.3
234,25.986,75.9,11.7,1,639,503,190284.95,0.9417,0.4475,0,0,0.037167,76.8
235,26.068,77.3,12.1,1,641,506,187922.53,0.9476,0.4543,0,0,0.037167,79.8
236,26.154,75.3,11.7,1,641,507,186443.42,0.9514,0.4586,0,0,0.037167,76.0
237,26.236,77.9,12.2,1,641,509,185441.34,0.9539,0.4615,0,0,0.037575,78.9
238,26.32,75.6,11.8,1,642,511,184650.39,0.956,0.4638,0,0,0.037575,77.9
239,26.404,78.1,12.0,1,645,514,182459.75,0.9617,0.4702,0.0371,0,0.037465,79.2
240,26.489,77.7,11.8,1,647,513,178799.97,0.9715,0.4808,0.03,0,0.037465,78.8
241,26.573,77.3,11.8,1,653,515,173723.42,0.9856,0.4956,0.0379,0,0.037465,79.5
242,26.659,76.7,11.7,1,652,513,170893.86,0.9937,0.5038,0,0,0.037435,77.6
243,26.743,76.8,12.0,1,652,512,168443.95,1.0009,0.5109,0,0,0.037435,78.0
244,26.826,75.4,11.9,1,653,514,166617.08,1.0064,0.5162,0.0359,0,0.037435,77.6
245,26.91,76.9,12.0,1,654,512,163884.16,1.0147,0.5241,0,0,0.037736,77.9
246,26.993,73.7,12.0,1,654,511,161999.16,1.0206,0.5296,0,0,0.037736,75.6
247,27.074,72.9,12.3,1,655,511,161510.03,1.0222,0.531,0,0,0.037736,74.5
248,27.155,70.2,12.5,1,655,511,161381.7,1.0226,0.5314,0,0,0.037865,71.2
249,27.231,74.2,13.0,1,653,511,161558.81,1.022,0.5309,0,0,0.037865,76.5
250,27.314,75.0,12.2,1,652,512,162144.02,1.0202,0.5292,0.0301,0,0.037865,76.0
251,27.395,75.5,12.2,1,654,514,163259.34,1.0167,0.5259,0.0356,0,0.037789,76.5
252,27.478,84.1,12.2,1,647,520,164556.3,1.0127,0.5222,0.0523,0,0.037789,86.4
253,27.57,78.6,10.9,1,638,526,163778.8,1.0151,0.5244,0.0654,0,0.037789,79.7
254,27.655,77.4,11.7,1,628,535,162856.73,1.0179,0.5271,0.0879,0,0.037816,78.4
255,27.739,77.6,11.9,1,630,539,162600.53,1.0187,0.5279,0.0899,0,0.037816,80.0
256,27.825,76.9,11.7,1,635,542,161545.86,1.0221,0.5309,0.0951,0,0.037816,77.7
257,27.909,75.7,12.0,1,635,539,162693.67,1.0184,0.5276,0.0813,0,0.037803,76.7
258,27.991,76.6,12.1,1,636,537,164664.78,1.0123,0.5219,0.0785,0,0.037803,78.9
259,28.076,74.2,11.8,1,635,538,165109.16,1.011,0.5206,0.0849,0,0.037451,75.1
260,28.156,75.9,12.4,1,633,541,163930.98,1.0146,0.524,0.0934,0,0.037451,77.0
261,28.239,93.5,12.1,1,611,571,168843.4,0.9997,0.5097,0.1829,-0.0623,0.037451,95.9
